Vgs,Vds,Id
0.3,1.499999901,0.001
0.6,1.499999901,0.001
0.8,1.499999901,0.001
1,1.499999703,0.003
1.2,1.499989518,0.106
1.4,1.49974675,2.561
1.6,1.497177963,28.538
1.8,1.486631466,135.19
2,1.466630582,337.45
2.1,1.451578003,489.67
2.2,1.435509854,652.16
2.3,1.417334423,835.96
2.4,1.397174331,1039.83
2.5,1.375246139,1261.58
2.7,1.323607347,1783.78
3,1.236614476,2663.5
3.3,1.144036466,3599.7
3.6,1.047433756,4576.6
4,0.937708741,5686.2
4.5,0.838881073,6685.6
5,0.768127424,7401.1
5.5,0.713383581,7954.7
6,0.670852282,8384.8
7,0.60659551,9034.6
8,0.55912975,9514.6
9,0.52284811,9881.5
10,0.493696222,10176.3
,,
0.5,1.499999901,0.001
1,1.499999901,0.001
1.4,1.499999901,0.001
1.8,1.499992781,0.073
2.2,1.497052179,29.81
2.5,1.475360326,249.17
2.7,1.445035639,555.83
2.9,1.406278857,947.76
3.1,1.356734492,1448.78
3.3,1.302648247,1995.73
3.5,1.240184296,2627.4
3.8,1.141356628,3626.8
4.1,1.047344758,4577.5
4.4,0.962667819,5433.8
4.7,0.894791783,6120.2
5,0.841956459,6654.5
5.5,0.770738041,7374.7
6,0.71757639,7912.3
6.5,0.675124201,8341.6
7,0.640197312,8694.8
8,0.5849887,9253.1
9,0.543653934,9671.1
10,0.510942115,10001.9
,,
0.5,1.499999901,0.001
1,1.499999901,0.001
1.4,1.499999901,0.001
1.8,1.499999901,0.001
2.2,1.499962621,0.378
2.5,1.497317196,27.13
2.7,1.484603195,155.701
2.9,1.459925054,405.26
3.1,1.422161098,787.15
3.3,1.376819431,1245.67
3.5,1.321132206,1808.81
3.8,1.227813533,2752.5
4.1,1.130548279,3736.1
4.4,1.03370824,4715.4
4.7,0.951908914,5542.6
5,0.888591568,6182.9
5.5,0.805348491,7024.7
6,0.744849425,7636.5
6.5,0.69749244,8115.4
7,0.659025397,8504.4
8,0.599099875,9110.4
9,0.554838054,9558
10,0.520178161,9908.5
