0.20492,0.000239
0.20504,0.00024
0.24991,0.000607
0.3011,0.001646
0.35268,0.004723
0.39759,0.012112
0.39801,0.01225
0.45054,0.038313
0.50248,0.116622
0.55314,0.34343
0.6002,0.87086
0.65187,2.3721
0.70033,5.4794
0.75002,11.7748
0.80011,23.779
0.099301,0.000005
0.148888,0.000004
0.24737,0.000005
0.30144,0.000004
0.35136,0.000005
0.40355,0.000004
0.45088,0.000004
0.50231,0.000005
0.5489,0.000004
0.60142,0.000005
0.65063,0.000004
0.69973,0.000004
0.75295,0.000004
1.00552,0.000005
1.9785,0.000203
3.0226,0.000308
4.0028,0.000406
5.0171,0.000507
